Major,Year,School,Enrollment
Physics,2010,Morrissey College of Arts and Sciences,69
Philosophy,2010,Morrissey College of Arts and Sciences,240
Music,2010,Morrissey College of Arts and Sciences,35
Mathematics,2010,Morrissey College of Arts and Sciences,234
Italian,2010,Morrissey College of Arts and Sciences,4
Islamic Civilization & Societies,2010,Morrissey College of Arts and Sciences,27
International Studies,2010,Morrissey College of Arts and Sciences,130
Independent,2010,Morrissey College of Arts and Sciences,3
History,2010,Morrissey College of Arts and Sciences,435
Hispanic Studies,2010,Morrissey College of Arts and Sciences,75
German,2010,Morrissey College of Arts and Sciences,12
Geological Sciences,2010,Morrissey College of Arts and Sciences,
Geological Sci./Environmental Geosciences,2010,Morrissey College of Arts and Sciences,77
French,2010,Morrissey College of Arts and Sciences,51
Film Studies,2010,Morrissey College of Arts and Sciences,49
Environmental Studies,2010,Morrissey College of Arts and Sciences,
Environmental Geosciences,2010,Morrissey College of Arts and Sciences,
English,2010,Morrissey College of Arts and Sciences,666
Economics,2010,Morrissey College of Arts and Sciences,664
Computer Science,2010,Morrissey College of Arts and Sciences,52
Communication,2010,Morrissey College of Arts and Sciences,895
Classics,2010,Morrissey College of Arts and Sciences,22
Chemistry,2010,Morrissey College of Arts and Sciences,113
Biology,2010,Morrissey College of Arts and Sciences,773
Biochemistry,2010,Morrissey College of Arts and Sciences,150
Art History,2010,Morrissey College of Arts and Sciences,50
Theology,2011,Morrissey College of Arts and Sciences,104
Theatre,2011,Morrissey College of Arts and Sciences,74
Studio Art,2011,Morrissey College of Arts and Sciences,34
Sociology,2011,Morrissey College of Arts and Sciences,191
Psychology,2011,Morrissey College of Arts and Sciences,577
Political Science,2011,Morrissey College of Arts and Sciences,677
Physics,2011,Morrissey College of Arts and Sciences,79
Philosophy,2011,Morrissey College of Arts and Sciences,218
Music,2011,Morrissey College of Arts and Sciences,30
Mathematics,2011,Morrissey College of Arts and Sciences,251
Italian,2011,Morrissey College of Arts and Sciences,4
Islamic Civilization & Societies,2011,Morrissey College of Arts and Sciences,26
International Studies,2011,Morrissey College of Arts and Sciences,213
Independent,2011,Morrissey College of Arts and Sciences,1
History,2011,Morrissey College of Arts and Sciences,428
Hispanic Studies,2011,Morrissey College of Arts and Sciences,82
German,2011,Morrissey College of Arts and Sciences,9
Geological Sciences,2011,Morrissey College of Arts and Sciences,
Geological Sci./Environmental Geosciences,2011,Morrissey College of Arts and Sciences,78
French,2011,Morrissey College of Arts and Sciences,59
Film Studies,2011,Morrissey College of Arts and Sciences,43
Environmental Studies,2011,Morrissey College of Arts and Sciences,
Environmental Geosciences,2011,Morrissey College of Arts and Sciences,
English,2011,Morrissey College of Arts and Sciences,665
Economics,2011,Morrissey College of Arts and Sciences,690
Computer Science,2011,Morrissey College of Arts and Sciences,67
Communication,2011,Morrissey College of Arts and Sciences,916
Classics,2011,Morrissey College of Arts and Sciences,26
Chemistry,2011,Morrissey College of Arts and Sciences,117
Biology,2011,Morrissey College of Arts and Sciences,827
Biochemistry,2011,Morrissey College of Arts and Sciences,165
Art History,2011,Morrissey College of Arts and Sciences,52
Theology,2012,Morrissey College of Arts and Sciences,80
Theatre,2012,Morrissey College of Arts and Sciences,53
Studio Art,2012,Morrissey College of Arts and Sciences,30
Sociology,2012,Morrissey College of Arts and Sciences,231
Psychology,2012,Morrissey College of Arts and Sciences,569
Political Science,2012,Morrissey College of Arts and Sciences,633
Physics,2012,Morrissey College of Arts and Sciences,105
Philosophy,2012,Morrissey College of Arts and Sciences,206
Music,2012,Morrissey College of Arts and Sciences,27
Mathematics,2012,Morrissey College of Arts and Sciences,237
Italian,2012,Morrissey College of Arts and Sciences,3
Islamic Civilization & Societies,2012,Morrissey College of Arts and Sciences,26
International Studies,2012,Morrissey College of Arts and Sciences,211
Independent,2012,Morrissey College of Arts and Sciences,0
History,2012,Morrissey College of Arts and Sciences,359
Hispanic Studies,2012,Morrissey College of Arts and Sciences,61
German,2012,Morrissey College of Arts and Sciences,6
Geological Sciences,2012,Morrissey College of Arts and Sciences,
Geological Sci./Environmental Geosciences,2012,Morrissey College of Arts and Sciences,77
French,2012,Morrissey College of Arts and Sciences,42
Film Studies,2012,Morrissey College of Arts and Sciences,48
Environmental Studies,2012,Morrissey College of Arts and Sciences,
Environmental Geosciences,2012,Morrissey College of Arts and Sciences,
English,2012,Morrissey College of Arts and Sciences,622
Economics,2012,Morrissey College of Arts and Sciences,706
Computer Science,2012,Morrissey College of Arts and Sciences,72
Communication,2012,Morrissey College of Arts and Sciences,890
Classics,2012,Morrissey College of Arts and Sciences,30
Chemistry,2012,Morrissey College of Arts and Sciences,138
Biology,2012,Morrissey College of Arts and Sciences,823
Biochemistry,2012,Morrissey College of Arts and Sciences,213
Art History,2012,Morrissey College of Arts and Sciences,38
Theology,2013,Morrissey College of Arts and Sciences,73
Theatre,2013,Morrissey College of Arts and Sciences,61
Studio Art,2013,Morrissey College of Arts and Sciences,35
Sociology,2013,Morrissey College of Arts and Sciences,222
Psychology,2013,Morrissey College of Arts and Sciences,529
Political Science,2013,Morrissey College of Arts and Sciences,656
Physics,2013,Morrissey College of Arts and Sciences,96
Philosophy,2013,Morrissey College of Arts and Sciences,188
Music,2013,Morrissey College of Arts and Sciences,22
Mathematics,2013,Morrissey College of Arts and Sciences,226
Italian,2013,Morrissey College of Arts and Sciences,2
Islamic Civilization & Societies,2013,Morrissey College of Arts and Sciences,22
International Studies,2013,Morrissey College of Arts and Sciences,212
Independent,2013,Morrissey College of Arts and Sciences,0
History,2013,Morrissey College of Arts and Sciences,312
Hispanic Studies,2013,Morrissey College of Arts and Sciences,42
German,2013,Morrissey College of Arts and Sciences,11
Geological Sciences,2013,Morrissey College of Arts and Sciences,
Geological Sci./Environmental Geosciences,2013,Morrissey College of Arts and Sciences,77
French,2013,Morrissey College of Arts and Sciences,28
Film Studies,2013,Morrissey College of Arts and Sciences,41
Environmental Studies,2013,Morrissey College of Arts and Sciences,
Environmental Geosciences,2013,Morrissey College of Arts and Sciences,
English,2013,Morrissey College of Arts and Sciences,559
Economics,2013,Morrissey College of Arts and Sciences,797
Computer Science,2013,Morrissey College of Arts and Sciences,113
Communication,2013,Morrissey College of Arts and Sciences,844
Classics,2013,Morrissey College of Arts and Sciences,18
Chemistry,2013,Morrissey College of Arts and Sciences,138
Biology,2013,Morrissey College of Arts and Sciences,795
Biochemistry,2013,Morrissey College of Arts and Sciences,251
Art History,2013,Morrissey College of Arts and Sciences,44
Theology,2014,Morrissey College of Arts and Sciences,60
Theatre,2014,Morrissey College of Arts and Sciences,51
Studio Art,2014,Morrissey College of Arts and Sciences,25
Sociology,2014,Morrissey College of Arts and Sciences,193
Psychology,2014,Morrissey College of Arts and Sciences,527
Political Science,2014,Morrissey College of Arts and Sciences,747
Physics,2014,Morrissey College of Arts and Sciences,99
Philosophy,2014,Morrissey College of Arts and Sciences,165
Music,2014,Morrissey College of Arts and Sciences,23
Mathematics,2014,Morrissey College of Arts and Sciences,298
Italian,2014,Morrissey College of Arts and Sciences,3
Islamic Civilization & Societies,2014,Morrissey College of Arts and Sciences,25
International Studies,2014,Morrissey College of Arts and Sciences,232
Independent,2014,Morrissey College of Arts and Sciences,0
History,2014,Morrissey College of Arts and Sciences,299
Hispanic Studies,2014,Morrissey College of Arts and Sciences,55
German,2014,Morrissey College of Arts and Sciences,10
Geological Sciences,2014,Morrissey College of Arts and Sciences,
Geological Sci./Environmental Geosciences,2014,Morrissey College of Arts and Sciences,97
French,2014,Morrissey College of Arts and Sciences,27
Film Studies,2014,Morrissey College of Arts and Sciences,40
Environmental Studies,2014,Morrissey College of Arts and Sciences,15
Environmental Geosciences,2014,Morrissey College of Arts and Sciences,
English,2014,Morrissey College of Arts and Sciences,515
Economics,2014,Morrissey College of Arts and Sciences,917
Computer Science,2014,Morrissey College of Arts and Sciences,154
Communication,2014,Morrissey College of Arts and Sciences,791
Classics,2014,Morrissey College of Arts and Sciences,27
Chemistry,2014,Morrissey College of Arts and Sciences,160
Biology,2014,Morrissey College of Arts and Sciences,865
Biochemistry,2014,Morrissey College of Arts and Sciences,270
Art History,2014,Morrissey College of Arts and Sciences,34
Theology,2015,Morrissey College of Arts and Sciences,68
Theatre,2015,Morrissey College of Arts and Sciences,62
Studio Art,2015,Morrissey College of Arts and Sciences,21
Sociology,2015,Morrissey College of Arts and Sciences,158
Psychology,2015,Morrissey College of Arts and Sciences,515
Political Science,2015,Morrissey College of Arts and Sciences,726
Physics,2015,Morrissey College of Arts and Sciences,87
Philosophy,2015,Morrissey College of Arts and Sciences,186
Music,2015,Morrissey College of Arts and Sciences,35
Mathematics,2015,Morrissey College of Arts and Sciences,315
Italian,2015,Morrissey College of Arts and Sciences,3
Islamic Civilization & Societies,2015,Morrissey College of Arts and Sciences,19
International Studies,2015,Morrissey College of Arts and Sciences,244
Independent,2015,Morrissey College of Arts and Sciences,0
History,2015,Morrissey College of Arts and Sciences,291
Hispanic Studies,2015,Morrissey College of Arts and Sciences,34
German,2015,Morrissey College of Arts and Sciences,9
Geological Sciences,2015,Morrissey College of Arts and Sciences,
Geological Sci./Environmental Geosciences,2015,Morrissey College of Arts and Sciences,70
French,2015,Morrissey College of Arts and Sciences,23
Film Studies,2015,Morrissey College of Arts and Sciences,45
Environmental Studies,2015,Morrissey College of Arts and Sciences,26
Environmental Geosciences,2015,Morrissey College of Arts and Sciences,
English,2015,Morrissey College of Arts and Sciences,466
Economics,2015,Morrissey College of Arts and Sciences,1031
Computer Science,2015,Morrissey College of Arts and Sciences,182
Communication,2015,Morrissey College of Arts and Sciences,763
Classics,2015,Morrissey College of Arts and Sciences,28
Chemistry,2015,Morrissey College of Arts and Sciences,142
Biology,2015,Morrissey College of Arts and Sciences,860
Biochemistry,2015,Morrissey College of Arts and Sciences,260
Art History,2015,Morrissey College of Arts and Sciences,36
Theology,2016,Morrissey College of Arts and Sciences,60
Theatre,2016,Morrissey College of Arts and Sciences,57
Studio Art,2016,Morrissey College of Arts and Sciences,27
Sociology,2016,Morrissey College of Arts and Sciences,175
Psychology,2016,Morrissey College of Arts and Sciences,492
Political Science,2016,Morrissey College of Arts and Sciences,819
Physics,2016,Morrissey College of Arts and Sciences,93
Philosophy,2016,Morrissey College of Arts and Sciences,188
Music,2016,Morrissey College of Arts and Sciences,24
Mathematics,2016,Morrissey College of Arts and Sciences,348
Italian,2016,Morrissey College of Arts and Sciences,0
Islamic Civilization & Societies,2016,Morrissey College of Arts and Sciences,20
International Studies,2016,Morrissey College of Arts and Sciences,248
Independent,2016,Morrissey College of Arts and Sciences,0
History,2016,Morrissey College of Arts and Sciences,277
Hispanic Studies,2016,Morrissey College of Arts and Sciences,42
German,2016,Morrissey College of Arts and Sciences,12
Geological Sciences,2016,Morrissey College of Arts and Sciences,11
Geological Sci./Environmental Geosciences,2016,Morrissey College of Arts and Sciences,
French,2016,Morrissey College of Arts and Sciences,23
Film Studies,2016,Morrissey College of Arts and Sciences,24
Environmental Studies,2016,Morrissey College of Arts and Sciences,48
Environmental Geosciences,2016,Morrissey College of Arts and Sciences,39
English,2016,Morrissey College of Arts and Sciences,431
Economics,2016,Morrissey College of Arts and Sciences,1138
Computer Science,2016,Morrissey College of Arts and Sciences,238
Communication,2016,Morrissey College of Arts and Sciences,787
Classics,2016,Morrissey College of Arts and Sciences,17
Chemistry,2016,Morrissey College of Arts and Sciences,112
Biology,2016,Morrissey College of Arts and Sciences,888
Biochemistry,2016,Morrissey College of Arts and Sciences,261
Art History,2016,Morrissey College of Arts and Sciences,43
Linguistics,1990,Morrissey College of Arts and Sciences,
Neuroscience,1990,Morrissey College of Arts and Sciences,
Russian,1990,Morrissey College of Arts and Sciences,
Slavic Studies,1990,Morrissey College of Arts and Sciences,
Linguistics,1991,Morrissey College of Arts and Sciences,
Neuroscience,1991,Morrissey College of Arts and Sciences,
Russian,1991,Morrissey College of Arts and Sciences,
Slavic Studies,1991,Morrissey College of Arts and Sciences,
Linguistics,1992,Morrissey College of Arts and Sciences,
Neuroscience,1992,Morrissey College of Arts and Sciences,
Russian,1992,Morrissey College of Arts and Sciences,
Slavic Studies,1992,Morrissey College of Arts and Sciences,
Linguistics,1993,Morrissey College of Arts and Sciences,
Neuroscience,1993,Morrissey College of Arts and Sciences,
Russian,1993,Morrissey College of Arts and Sciences,
Slavic Studies,1993,Morrissey College of Arts and Sciences,
Linguistics,1994,Morrissey College of Arts and Sciences,
Neuroscience,1994,Morrissey College of Arts and Sciences,
Russian,1994,Morrissey College of Arts and Sciences,
Slavic Studies,1994,Morrissey College of Arts and Sciences,
Linguistics,1995,Morrissey College of Arts and Sciences,
Neuroscience,1995,Morrissey College of Arts and Sciences,
Russian,1995,Morrissey College of Arts and Sciences,
Slavic Studies,1995,Morrissey College of Arts and Sciences,
Linguistics,1996,Morrissey College of Arts and Sciences,
Neuroscience,1996,Morrissey College of Arts and Sciences,
Russian,1996,Morrissey College of Arts and Sciences,
Slavic Studies,1996,Morrissey College of Arts and Sciences,
Linguistics,1997,Morrissey College of Arts and Sciences,
Neuroscience,1997,Morrissey College of Arts and Sciences,
Russian,1997,Morrissey College of Arts and Sciences,
Slavic Studies,1997,Morrissey College of Arts and Sciences,
Linguistics,1998,Morrissey College of Arts and Sciences,
Neuroscience,1998,Morrissey College of Arts and Sciences,
Russian,1998,Morrissey College of Arts and Sciences,
Slavic Studies,1998,Morrissey College of Arts and Sciences,
Linguistics,1999,Morrissey College of Arts and Sciences,
Neuroscience,1999,Morrissey College of Arts and Sciences,
Russian,1999,Morrissey College of Arts and Sciences,
Slavic Studies,1999,Morrissey College of Arts and Sciences,
Linguistics,2000,Morrissey College of Arts and Sciences,
Neuroscience,2000,Morrissey College of Arts and Sciences,
Russian,2000,Morrissey College of Arts and Sciences,
Slavic Studies,2000,Morrissey College of Arts and Sciences,
Linguistics,2001,Morrissey College of Arts and Sciences,
Neuroscience,2001,Morrissey College of Arts and Sciences,
Russian,2001,Morrissey College of Arts and Sciences,
Slavic Studies,2001,Morrissey College of Arts and Sciences,
Linguistics,2002,Morrissey College of Arts and Sciences,
Neuroscience,2002,Morrissey College of Arts and Sciences,
Russian,2002,Morrissey College of Arts and Sciences,
Slavic Studies,2002,Morrissey College of Arts and Sciences,
Linguistics,2003,Morrissey College of Arts and Sciences,
Neuroscience,2003,Morrissey College of Arts and Sciences,
Russian,2003,Morrissey College of Arts and Sciences,
Slavic Studies,2003,Morrissey College of Arts and Sciences,
Linguistics,2004,Morrissey College of Arts and Sciences,
Neuroscience,2004,Morrissey College of Arts and Sciences,
Russian,2004,Morrissey College of Arts and Sciences,
Slavic Studies,2004,Morrissey College of Arts and Sciences,
Linguistics,2005,Morrissey College of Arts and Sciences,
Neuroscience,2005,Morrissey College of Arts and Sciences,
Russian,2005,Morrissey College of Arts and Sciences,
Slavic Studies,2005,Morrissey College of Arts and Sciences,
Linguistics,2006,Morrissey College of Arts and Sciences,
Neuroscience,2006,Morrissey College of Arts and Sciences,
Russian,2006,Morrissey College of Arts and Sciences,
Slavic Studies,2006,Morrissey College of Arts and Sciences,
Linguistics,2007,Morrissey College of Arts and Sciences,
Neuroscience,2007,Morrissey College of Arts and Sciences,
Russian,2007,Morrissey College of Arts and Sciences,
Slavic Studies,2007,Morrissey College of Arts and Sciences,
Linguistics,2008,Morrissey College of Arts and Sciences,
Neuroscience,2008,Morrissey College of Arts and Sciences,
Russian,2008,Morrissey College of Arts and Sciences,
Slavic Studies,2008,Morrissey College of Arts and Sciences,
Linguistics,2009,Morrissey College of Arts and Sciences,
Neuroscience,2009,Morrissey College of Arts and Sciences,
Russian,2009,Morrissey College of Arts and Sciences,
Slavic Studies,2009,Morrissey College of Arts and Sciences,
Linguistics,2010,Morrissey College of Arts and Sciences,37
Neuroscience,2010,Morrissey College of Arts and Sciences,
Russian,2010,Morrissey College of Arts and Sciences,6
Slavic Studies,2010,Morrissey College of Arts and Sciences,10
Linguistics,2011,Morrissey College of Arts and Sciences,23
Neuroscience,2011,Morrissey College of Arts and Sciences,
Russian,2011,Morrissey College of Arts and Sciences,3
Slavic Studies,2011,Morrissey College of Arts and Sciences,11
Linguistics,2012,Morrissey College of Arts and Sciences,33
Neuroscience,2012,Morrissey College of Arts and Sciences,
Russian,2012,Morrissey College of Arts and Sciences,4
Slavic Studies,2012,Morrissey College of Arts and Sciences,6
Linguistics,2013,Morrissey College of Arts and Sciences,28
Neuroscience,2013,Morrissey College of Arts and Sciences,
Russian,2013,Morrissey College of Arts and Sciences,3
Slavic Studies,2013,Morrissey College of Arts and Sciences,3
Linguistics,2014,Morrissey College of Arts and Sciences,24
Neuroscience,2014,Morrissey College of Arts and Sciences,
Russian,2014,Morrissey College of Arts and Sciences,1
Slavic Studies,2014,Morrissey College of Arts and Sciences,3
Linguistics,2015,Morrissey College of Arts and Sciences,30
Neuroscience,2015,Morrissey College of Arts and Sciences,
Russian,2015,Morrissey College of Arts and Sciences,1
Slavic Studies,2015,Morrissey College of Arts and Sciences,4
Linguistics,2016,Morrissey College of Arts and Sciences,32
Neuroscience,2016,Morrissey College of Arts and Sciences,
Russian,2016,Morrissey College of Arts and Sciences,1
Slavic Studies,2016,Morrissey College of Arts and Sciences,3
Geological Sci./Environmental Geosciences,2017,Morrissey College of Arts and Sciences,
Linguistics,2017,Morrissey College of Arts and Sciences,20
Neuroscience,2017,Morrissey College of Arts and Sciences,
Russian,2017,Morrissey College of Arts and Sciences,1
Slavic Studies,2017,Morrissey College of Arts and Sciences,4
Geological Sci./Environmental Geosciences,2018,Morrissey College of Arts and Sciences,
Linguistics,2018,Morrissey College of Arts and Sciences,18
Neuroscience,2018,Morrissey College of Arts and Sciences,
Russian,2018,Morrissey College of Arts and Sciences,4
Slavic Studies,2018,Morrissey College of Arts and Sciences,2
Art History,2019,Morrissey College of Arts and Sciences,23
Biochemistry,2019,Morrissey College of Arts and Sciences,258
Biology,2019,Morrissey College of Arts and Sciences,936
Chemistry,2019,Morrissey College of Arts and Sciences,115
Classics,2019,Morrissey College of Arts and Sciences,24
Communication,2019,Morrissey College of Arts and Sciences,678
Computer Science,2019,Morrissey College of Arts and Sciences,452
Economics,2019,Morrissey College of Arts and Sciences,1042
English,2019,Morrissey College of Arts and Sciences,394
Environmental Geosciences,2019,Morrissey College of Arts and Sciences,40
Environmental Studies,2019,Morrissey College of Arts and Sciences,67
Film Studies,2019,Morrissey College of Arts and Sciences,42
French,2019,Morrissey College of Arts and Sciences,13
Geological Sci./Environmental Geosciences,2019,Morrissey College of Arts and Sciences,
Geological Sciences,2019,Morrissey College of Arts and Sciences,3
German,2019,Morrissey College of Arts and Sciences,4
Hispanic Studies,2019,Morrissey College of Arts and Sciences,21
History,2019,Morrissey College of Arts and Sciences,238
Independent,2019,Morrissey College of Arts and Sciences,1
International Studies,2019,Morrissey College of Arts and Sciences,261
Islamic Civilization & Societies,2019,Morrissey College of Arts and Sciences,15
Italian,2019,Morrissey College of Arts and Sciences,3
Linguistics,2019,Morrissey College of Arts and Sciences,19
Mathematics,2019,Morrissey College of Arts and Sciences,332
Music,2019,Morrissey College of Arts and Sciences,23
Neuroscience,2019,Morrissey College of Arts and Sciences,97
Philosophy,2019,Morrissey College of Arts and Sciences,209
Physics,2019,Morrissey College of Arts and Sciences,79
Political Science,2019,Morrissey College of Arts and Sciences,867
Psychology,2019,Morrissey College of Arts and Sciences,470
Russian,2019,Morrissey College of Arts and Sciences,5
Slavic Studies,2019,Morrissey College of Arts and Sciences,1
Sociology,2019,Morrissey College of Arts and Sciences,173
Studio Art,2019,Morrissey College of Arts and Sciences,24
Theatre,2019,Morrissey College of Arts and Sciences,41
Theology,2019,Morrissey College of Arts and Sciences,37
